ID	Dist.(miles)	Alt(ft)	Time
A13501/AAL1413 	0.6	15850	2022-01-12 19:06:27.800000
AC8AC8/N907SL  	0.9	2200	2022-01-12 19:06:52.800000
A6B790/N53176  	1.7	1000	2022-01-12 19:11:42.800000
AD9811/AAL807  	0.6	19350	2022-01-12 19:15:59.800000
A65527/NKS460  	0.6	25250	2022-01-12 19:26:26.800000
A9D6E0/N733HA  	0.5	1350	2022-01-12 19:27:35.800000
A5F845/N484JH  	2.0	22825	2022-01-12 19:27:51.800000
AD9737/N975LE  	1.5	11800	2022-01-12 19:29:56.800000
A0676E/N125MX  	1.5	2000	2022-01-12 19:31:55.800000
AD20F1/NKS504  	0.7	23175	2022-01-12 19:33:16.800000
A60C09/SWA2765 	0.3	20000	2022-01-12 19:34:04.800000
A0373E/N1129K  	0.8	1100	2022-01-12 19:34:14.800000
A894F2/JBU1070 	0.7	23300	2022-01-12 19:36:01.800000
A89155/N651KC  	0.5	1200	2022-01-12 19:36:07.800000
A320F9/SKW3701 	0.6	25000	2022-01-12 19:38:48.800000
A1FCF9/N227WC  	2.3	750	2022-01-12 19:42:23.800000
A0757F/DAL708  	0.6	21375	2022-01-12 19:44:42.800000
A1FCF9/N227WC  	2.4	400	2022-01-12 19:44:49.800000
AAF931/N806LR  	1.5	5725	2022-01-12 19:44:53.800000
A5CE40/SWA2325 	0.7	16700	2022-01-12 19:45:53.800000
AB81B5/ASA196  	0.7	23250	2022-01-12 19:47:29.800000
A1FCF9/N227WC  	2.2	550	2022-01-12 19:48:10.800000
A1FCF9/N227WC  	2.2	550	2022-01-12 19:51:15.800000
A7A233/N591MB  	0.8	26100	2022-01-12 19:52:27.800000
A1FCF9/N227WC  	2.2	575	2022-01-12 19:54:28.800000
A102B0/N164Y   	2.4	4200	2022-01-12 19:56:36.800000
A1FCF9/N227WC  	2.1	575	2022-01-12 19:57:41.800000
ACE60C/DAL910  	0.6	21525	2022-01-12 20:01:10.800000
A6B790/N53176  	0.8	1250	2022-01-12 20:03:24.800000
