|  icao   | flight  | alt   | dist | rssi  |   type       |  cat | seen  | mesg  | lat        | long       |         time            |
| A83988  | ASA810  |  0350 |  4.6 |  -5.6 |    adsb_icao |   A3 |   0.2 |  8814 |  33.701586 |-117.852459 |Sat Jan 29 22:07:41 2022 |
| A14D65  | N183SD  |  0575 |  1.8 | -20.0 |    adsb_icao |   A7 |   0.3 | 20768 |  33.661411 |-117.847424 |Sat Jan 29 22:07:41 2022 |
| A53BC6  | N4360F  |  5200 |  7.5 |  -2.9 |    adsb_icao |   A1 |   0.0 |  2825 |  33.527023 |-117.845837 |Sat Jan 29 22:07:41 2022 |
| A4190F  | N363SP  |  3200 |  4.4 |  -4.4 |    adsr_icao |   A1 |   1.4 |  1190 |  33.684174 |-117.794345 |Sat Jan 29 22:07:41 2022 |
| AC8AC8  | N907SL  |  1900 |  7.1 |  -6.5 |    adsb_icao |   A1 |   0.1 |  7045 |  33.663087 |-117.722969 |Sat Jan 29 22:07:41 2022 |
| ACAE7C  | N916RR  |  2175 |  8.2 | -14.7 |    adsb_icao |   A1 |   0.3 | 42834 |  33.662901 |-117.981720 |Sat Jan 29 22:07:43 2022 |
| A97675  | SKW3157 |  6850 |  7.8 |  -2.9 |    adsb_icao |   A2 |   0.1 |  4723 |  33.595493 |-117.968845 |Sat Jan 29 22:07:43 2022 |
| A93AE7  | N694PR  |  2200 |  6.8 | -30.9 |    adsr_icao |   A1 |   1.5 |   817 |  33.619812 |-117.958916 |Sat Jan 29 22:07:43 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  37.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:43 2022 |
| A83988  | ASA810  |  0325 |  4.5 |  -4.3 |    adsb_icao |   A3 |   0.0 |  8853 |  33.700236 |-117.853260 |Sat Jan 29 22:07:43 2022 |
| A14D65  | N183SD  |  0575 |  1.8 | -10.1 |    adsb_icao |   A7 |   0.7 | 20769 |  33.661411 |-117.847424 |Sat Jan 29 22:07:43 2022 |
| A53BC6  | N4360F  |  5200 |  7.4 |  -6.7 |    adsb_icao |   A1 |   0.1 |  2847 |  33.527620 |-117.846754 |Sat Jan 29 22:07:43 2022 |
| A4190F  | N363SP  |  3200 |  4.5 |  -3.6 |    adsr_icao |   A1 |   0.5 |  1204 |  33.685153 |-117.793407 |Sat Jan 29 22:07:43 2022 |
| AC8AC8  | N907SL  |  1900 |  7.1 |  -5.6 |    adsb_icao |   A1 |   0.3 |  7068 |  33.663087 |-117.723885 |Sat Jan 29 22:07:43 2022 |
| ACAE7C  | N916RR  |  2175 |  8.2 |  -8.2 |    adsb_icao |   A1 |   0.3 | 42861 |  33.663116 |-117.980272 |Sat Jan 29 22:07:45 2022 |
| A97675  | SKW3157 |  6850 |  7.8 |  -2.2 |    adsb_icao |   A2 |   0.1 |  4744 |  33.597702 |-117.969790 |Sat Jan 29 22:07:45 2022 |
| A93AE7  | N694PR  |  2200 |  6.9 | -30.2 |    adsr_icao |   A1 |   0.4 |   823 |  33.620270 |-117.961326 |Sat Jan 29 22:07:45 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  39.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:45 2022 |
| A83988  | ASA810  |  0300 |  4.5 |  -3.2 |    adsb_icao |   A3 |   0.0 |  8884 |  33.698932 |-117.854118 |Sat Jan 29 22:07:45 2022 |
| A53BC6  | N4360F  |  5200 |  7.4 |  -8.0 |    adsb_icao |   A1 |   0.4 |  2869 |  33.528122 |-117.847595 |Sat Jan 29 22:07:45 2022 |
| A14D65  | N183SD  |  0575 |  1.8 |  -5.9 |    adsb_icao |   A7 |   0.4 | 20775 |  33.661411 |-117.847424 |Sat Jan 29 22:07:45 2022 |
| A4190F  | N363SP  |  3200 |  4.5 |  -3.6 |    adsr_icao |   A1 |   0.1 |  1212 |  33.685944 |-117.792606 |Sat Jan 29 22:07:45 2022 |
| AC8AC8  | N907SL  |  1900 |  7.0 |  -8.5 |    adsb_icao |   A1 |   0.2 |  7088 |  33.663087 |-117.724628 |Sat Jan 29 22:07:45 2022 |
| ACAE7C  | N916RR  |  2150 |  8.1 |  -9.5 |    adsb_icao |   A1 |   0.1 | 42883 |  33.663254 |-117.978871 |Sat Jan 29 22:07:47 2022 |
| A97675  | SKW3157 |  6850 |  7.8 |  -2.0 |    adsb_icao |   A2 |   0.1 |  4760 |  33.599869 |-117.970791 |Sat Jan 29 22:07:47 2022 |
| A93AE7  | N694PR  |  2300 |  7.0 | -30.0 |    adsr_icao |   A1 |   0.1 |   829 |  33.620682 |-117.962952 |Sat Jan 29 22:07:47 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  41.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:47 2022 |
| A83988  | ASA810  |  0275 |  4.4 |  -4.5 |    adsb_icao |   A3 |   0.0 |  8917 |  33.697815 |-117.854826 |Sat Jan 29 22:07:47 2022 |
| A14D65  | N183SD  |  0575 |  2.1 | -20.0 |    adsb_icao |   A7 |   0.5 | 20789 |  33.664352 |-117.851631 |Sat Jan 29 22:07:47 2022 |
| A53BC6  | N4360F  |  5200 |  7.3 |  -4.8 |    adsb_icao |   A1 |   0.1 |  2893 |  33.528737 |-117.848660 |Sat Jan 29 22:07:47 2022 |
| A4190F  | N363SP  |  3200 |  4.6 |  -4.6 |    adsr_icao |   A1 |   0.1 |  1225 |  33.686503 |-117.791977 |Sat Jan 29 22:07:47 2022 |
